YEAR	EW_LW	CWTALL90.Chrono	CWTALL50.Chrono	CWAadj90.Chrono	CWAadj50.Chrono	RWDadj90.Chrono	RWDadj50.Chrono	CTA90.Chrono	CTA50.Chrono	NUM.Chrono	NUM.TOT.Chrono
1917	LW	6.237	4.69	332.04	245.665	0.928889218	0.78135796	539.285	323.0819863	504	1397
1918	EW	3.585	2.885	316.882	235.95	0.601828752	0.46792204	684.8824044	501.3705199	726	1212
1918	LW	5.96	4.475	301.828	224.79	0.919558487	0.777363029	447.13	309.51	486	1212
1919	EW	3.53	2.98	303.446	231.6583729	0.617199758	0.491310277	665.694	475.6911527	773	1308
1919	LW	6.24	4.46	319.806	220.725558	0.935756794	0.80045714	425.964	290.27	535	1308
1920	EW	3.5425	2.8	307.5475	224.9620998	0.589290476	0.452661068	711.3090007	510.7260743	773	1228
1920	LW	6.033	4.335	322.889	219.5319606	0.917399783	0.793587813	456.925	292.3984794	455	1228
1921	EW	3.6775	2.855	317.96	235.2175	0.595196302	0.45433668	739.3385	538.3025632	1047	1510.5
1921	LW	6.706	5.0875	385.1015	277.91	0.935639239	0.820534615	525.88	350.8025	463.5	1510.5
1922	EW	4.0235	3.1275	383.2975	271.3932556	0.607303258	0.479539285	800.896	584.4875	897.5	1673.5
1922	LW	6.735	5.3725	426.562	292.03	0.933328004	0.816937736	580.3015	370.1575	776	1673.5
1923	EW	3.75	2.92	327.235	230.255	0.629346202	0.487043702	722.792	485.2833115	1284.5	1963
1923	LW	6.185	4.77	380.5745	257.5125	0.916325345	0.790516652	511.4475	341.8356026	678.5	1963
1924	EW	3.669	2.91	339.573	251.0680586	0.602985838	0.459553983	782.6863577	556.0731086	981.5	1353.5
1924	LW	5.939	4.65	356.6555	257.9561784	0.921498728	0.808276637	506.4545	329.78	372	1353.5
1925	EW	3.3525	2.785	317.6735	231.5865775	0.581450712	0.4516424	750.7539034	524.1464352	936	1220.5
1925	LW	5.995	4.255	325.1535	222.3675	0.918756268	0.786544773	473.9615	293.7487958	284.5	1220.5
1926	EW	3.5385	2.8125	328.86	228.985	0.597545017	0.462676446	740.2906885	514.9968698	616	973.5
1926	LW	6.1335	4.5575	335.6165	227.9813201	0.934794285	0.827142883	457.905	288.3575	357.5	973.5
1927	EW	3.489664714	2.717523001	300.8725083	221.7028129	0.577992465	0.456391507	679.1700053	487.435401	824.1671502	1150.633682
1927	LW	6.040986554	4.729378907	335.6410361	225.8372025	0.921462921	0.820131866	465.4433905	295.0674969	324.1976866	1150.633682
1928	EW	3.367433918	2.625062108	292.5631042	215.2444276	0.582292436	0.44045573	684.5104315	490.5847496	787.9342885	1141.638765
1928	LW	5.817448312	4.758860535	365.9157428	245.1977691	0.914232366	0.785104341	496.1475061	329.8384436	351.4602177	1141.638765
1929	EW	3.291548059	2.650859585	295.1163918	214.330687	0.552933855	0.432157231	698.2838132	520.14618	545.6951784	803.8167499
1929	LW	6.114319884	4.298431065	319.6989851	217.6873322	0.934982332	0.808346185	431.82097	279.6957509	258.1203651	803.8167499
1930	EW	3.621506058	2.905884685	290.0228874	212.7918671	0.599983813	0.453245856	675.2561016	502.080435	542.0044176	788.1731549
1930	LW	6.423672118	4.711267052	342.535201	241.0137747	0.939213307	0.834762176	441.3317374	314.8855016	251.1702673	788.1731549
1931	EW	3.362907925	2.667779374	302.2813329	218.8038633	0.577922354	0.445270394	734.6410506	532.8490668	563.2412583	776.2239901
1931	LW	6.248933832	4.598517607	333.11938	231.3442282	0.93061247	0.824402712	457.5132458	317.7234638	192.3238365	776.2239901
1932	EW	3.434741001	2.732832463	297.450138	225.7797	0.597499382	0.465685086	685.9856879	492.0546119	662.0401652	924.5206621
1932	LW	6.084462281	4.510099521	338.4406082	238.6530042	0.920599803	0.785971558	488.3220548	314.0478884	237.2785985	924.5206621
1933	EW	3.516316192	2.6175513	293.0210208	208.5856956	0.591404429	0.460064466	661.3440369	465.1145032	658.0624542	956.0787375
1933	LW	6.430750052	4.962666855	358.361919	252.1399343	0.935427963	0.810389469	476.2677039	323.9578264	289.9912252	956.0787375
1934	EW	3.551423517	2.830910855	306.8072425	226.8040849	0.586241463	0.448467832	691.7110595	535.9671943	739.8560832	1123.338777
1934	LW	6.322509778	4.822672864	334.5333782	245.3949597	0.931946552	0.813964334	476.1650946	311.9143809	360.8848962	1123.338777
1935	EW	3.522690141	2.7992251	301.2032442	220.5748254	0.59766931	0.482872776	655.9378819	476.2889094	721.8017045	1075.621748
1935	LW	6.145631115	4.772025434	342.3540985	244.6288041	0.936724011	0.807077885	476.0895736	322.3328553	270.4398861	1075.621748
1936	EW	3.498112389	2.8539134	290.6477429	214.253583	0.610514345	0.496237337	633.3209193	448.4651566	605.2394516	878.9955221
1936	LW	5.740179914	4.331384294	305.9521191	226.023054	0.912317783	0.820731067	418.4579196	303.1689661	328.3059977	878.9955221
1937	EW	3.134283172	2.59	267.9353898	198.5256352	0.584881685	0.471376506	608.6379622	433.7023243	484.7291652	718.0030427
1937	LW	5.616413628	4.062489691	281.4784823	197.6232479	0.920478964	0.769405944	404.4793065	265.4235815	234.3697989	718.0030427
1938	EW	3.186549173	2.490948461	246.4604733	178.857382	0.587860183	0.471636182	596.8501996	415.6717435	552.437201	801.3296616
1938	LW	5.622212885	4.281029605	296.2571784	202.0094911	0.920551229	0.802938961	410.1826771	268.8442307	284.1947149	801.3296616
1939	EW	3.368565061	2.655750128	287.2265206	207.4373001	0.573803059	0.444164207	672.6414544	464.6197237	621.2248729	1050.087082
1939	LW	5.958697534	4.353092475	318.6023879	212.7944816	0.930707025	0.792178695	422.4880371	281.3040299	394.3309045	1050.087082
1940	EW	3.452978939	2.764726792	308.5904717	224.7192238	0.589958095	0.458442475	707.6313186	503.2709876	824.1247602	1286.366908
1940	LW	5.910153386	4.504747606	335.7233973	228.3478318	0.917309277	0.80580668	468.9946858	302.7126781	455.4649711	1286.366908
1941	EW	3.312670082	2.709839365	290.6441727	215.5938644	0.57595992	0.458820563	689.5524393	491.4632863	1048.393456	1375.971882
1941	LW	5.259564389	3.89302676	284.8847856	196.2215611	0.905081226	0.765492929	420.8105755	265.0630436	337.9792121	1375.971882
1942	EW	3.56384377	2.799654944	334.1841204	226.6956007	0.575504157	0.438859921	813.871674	525.1550798	1297.912782	1963.60585
1942	LW	5.857814756	4.442439671	355.5770898	243.9276772	0.90490633	0.776181123	505.9313832	329.1453372	689.8309454	1963.60585
1943	EW	3.515429722	2.641183677	304.9385095	208.7492389	0.581677843	0.44344414	689.3631608	478.441148	1096.925489	1526.027166
1943	LW	6.174396115	4.534809775	344.6454556	238.2383302	0.915660343	0.799256175	470.1063548	314.4594389	468.4300897	1526.027166
1944	EW	3.532429063	2.750290414	299.9635497	216.363228	0.591336599	0.457297795	672.8898329	485.7693448	959.0076627	1342.92715
1944	LW	6.121561153	4.643597392	345.0832053	240.6899781	0.930063405	0.805200951	481.6861288	315.7021489	393.0335301	1342.92715
1945	EW	3.451424138	2.748030099	308.6426323	227.7167629	0.585875671	0.455844171	710.6640322	509.938038	965.220757	1365.064742
1945	LW	5.818815552	4.368796891	326.0866554	224.6044427	0.90971673	0.8020802	460.8194075	303.0169993	400.4372424	1365.064742
1946	EW	3.580383481	2.85598675	312.2843959	227.0839169	0.584876823	0.462613968	701.1690257	498.1904343	765.504072	1161.791321
1946	LW	6.335062663	4.691483995	345.8687513	247.2684361	0.932136368	0.812945828	476.1779137	316.3251105	330.6535306	1161.791321
1947	EW	3.242594358	2.68729665	295.6012928	210.9602342	0.5742102	0.452668021	659.3190826	489.6259032	635.1834873	855.6789998
1947	LW	5.864073779	4.223366152	328.6002775	228.024182	0.901412428	0.759801906	479.509911	307.8461794	200.8253241	855.6789998
1948	EW	3.416837121	2.775025564	306.4500616	223.1980325	0.581372178	0.455284856	696.4172563	505.6266222	680.492589	1107.228933
1948	LW	5.85499538	4.51103564	327.4134201	228.8470284	0.914979791	0.804660695	457.5951289	298.1266014	339.2242695	1107.228933
1949	EW	3.534929248	2.815028725	311.1528354	222.7854293	0.586400495	0.450682089	699.8512288	503.4635366	645.6439192	1002.922021
1949	LW	6.108007924	4.804163419	346.3248325	248.0719703	0.927898962	0.837024808	465.1229177	314.197195	329.4165803	1002.922021
1950	EW	3.672650532	2.899799032	346.7261553	237.9432165	0.5914944	0.457178197	740.7829929	539.6142975	969.7288863	1390.940504
1950	LW	6.098708094	4.840309761	348.0779325	249.9734608	0.924730232	0.829638369	483.4730802	309.7617198	407.1951757	1390.940504
1951	EW	3.656439734	2.950476608	335.0449698	240.1362486	0.598850098	0.467557532	741.8619016	536.6336352	943.1067337	1387.22603
1951	LW	6.337636367	4.911720585	366.6111454	267.7694064	0.931020095	0.805902915	507.6268512	341.7178478	414.8441807	1387.22603
1952	EW	3.75528269	2.966523552	336.0610546	245.4886008	0.599802349	0.46847891	739.5371535	541.8903146	819.3973564	1302.514376
1952	LW	6.380843215	5.062164807	370.5787536	266.4241133	0.939159653	0.828574897	512.7679102	329.8685763	477.1057315	1302.514376
1953	EW	3.66056432	2.912643297	326.989142	240.4551537	0.596269652	0.467972466	728.9672009	525.4095015	913.036959	1378.07091
1953	LW	6.021749566	4.70421492	358.9078704	256.2283787	0.922303925	0.784964901	506.603083	338.0379007	428.2310891	1378.07091
1954	EW	3.65117522	2.876020406	327.8616056	237.0150358	0.580781532	0.453313056	740.4582951	540.6695853	722.5174445	1110.819639
1954	LW	6.346007633	4.920448278	365.927785	270.1879581	0.933462509	0.829165438	510.9907068	342.6006308	354.6858022	1110.819639
1955	EW	3.684712163	2.988417342	327.0115705	242.4994208	0.588516396	0.471459359	714.6721631	522.8374354	717.3259382	1106.367841
1955	LW	6.433551437	5.065907641	381.1147457	280.4668674	0.940255658	0.811625455	528.0807009	364.2443927	364.4561865	1106.367841
1956	EW	3.693318343	2.92437664	332.1706198	245.5451025	0.586718878	0.467261264	727.3740536	539.9694322	675.5946851	1008.844312
1956	LW	6.507967959	4.957706057	376.8162972	269.2711166	0.933149931	0.814997657	537.0090235	349.2703066	314.2498865	1008.844312
1957	EW	3.637492789	2.932049502	329.3406292	238.3312515	0.595136367	0.469779147	730.1677435	523.5710037	579.7297119	852.5126122
1957	LW	6.433540147	4.886838455	364.5220488	255.4895713	0.925665131	0.803570411	521.7654187	322.319572	248.6869016	852.5126122
1958	EW	3.648737625	2.93761409	326.4723533	240.9583555	0.59980033	0.474404611	718.1336244	526.2409208	513.6396241	776.0945961
1958	LW	6.593105063	4.963648078	364.0955459	262.6735261	0.936646777	0.805557316	519.9609956	345.5481432	232.9195649	776.0945961
1959	EW	3.621592137	2.885898497	326.5831286	239.9801162	0.592016307	0.459907048	757.2157779	541.6172547	499.9131081	705.0921034
1959	LW	6.227773223	4.620680442	357.3445624	252.3033971	0.916803925	0.751380448	528.9780233	337.6456576	202.2734853	705.0921034
1960	EW	3.553042292	2.853784375	329.6407382	242.6821444	0.593797571	0.465103395	766.4964015	555.5429499	499.4747814	763.032607
1960	LW	6.326624776	4.760052907	363.8851473	257.4469021	0.932110739	0.795578372	511.6633347	334.7247306	258.8193375	763.032607
1961	EW	3.562005704	2.90324702	323.3757472	237.8960914	0.590994018	0.473017133	696.5946381	531.6294221	537.7753381	735.3477771
1961	LW	5.928005237	4.347600472	329.3500447	231.9967373	0.899176117	0.744474826	479.8638718	323.0562309	184.9846697	735.3477771
1962	EW	3.554008372	2.831795295	313.6226995	234.3278494	0.594240472	0.464500821	715.5949459	526.1447	626.7339383	863.8404146
1962	LW	6.188133523	4.676193106	357.4705604	255.8625371	0.924245508	0.769143309	531.0418647	350.7297437	235.0929268	863.8404146
1963	EW	3.368454779	2.731844917	303.9549634	225.4918387	0.57334187	0.442971003	735.681717	531.607882	562.1811849	798.651111
1963	LW	6.211391678	4.580674625	338.0433367	237.9437873	0.929950469	0.802257769	490.5081178	325.4438375	243.4139504	798.651111
1964	EW	3.48555197	2.859566219	298.6443766	221.7416894	0.602149246	0.481609813	666.6557788	477.8705759	396.9027976	599.8328731
1964	LW	5.701006916	4.185308531	311.6049773	223.827273	0.894171328	0.742340479	477.8775755	310.4872297	196.4064697	599.8328731
1965	EW	3.530166384	2.823664545	320.3840679	235.369938	0.580951509	0.453941932	738.4134195	541.6365224	581.0409616	810.9558402
1965	LW	6.146488608	4.56432645	340.9397559	241.5501797	0.913711321	0.77119431	501.7368492	323.9390264	225.0435566	810.9558402
1966	EW	3.48366562	2.811541491	310.4264197	228.2266754	0.586797719	0.462309635	708.8225638	516.7365874	520.1562607	756.9716187
1966	LW	6.589712241	5.109691949	363.6284619	264.9046896	0.931659668	0.812931451	511.1902557	342.4759692	235.2791044	756.9716187
1967	EW	3.588694117	2.854624033	316.320897	229.3255293	0.589642216	0.467287195	706.9074662	507.8324816	458.6280672	665.8971768
1967	LW	6.337424576	4.67558881	340.8302144	246.3310465	0.925295281	0.778305118	501.9228451	321.4647645	211.4333331	665.8971768
1968	EW	3.621115367	2.889908356	326.7106023	238.0215285	0.59638374	0.464738886	724.6550167	531.428781	516.0855797	747.1143448
1968	LW	6.191892177	4.711578303	354.5248797	250.52394	0.929231297	0.802671994	497.1328202	327.4530889	225.55055	747.1143448
1969	EW	3.672751457	2.918721267	325.3736224	233.4861361	0.601419341	0.474910091	713.4366156	513.9346078	398.6126575	661.1300638
1969	LW	6.442258745	4.904235759	361.0372621	266.6419999	0.928459437	0.788489123	513.6216492	345.3267138	230.9047777	661.1300638
1970	EW	3.511355371	2.84334834	316.7284205	227.0767129	0.596882644	0.473997709	692.9811749	507.0420534	504.6366741	704.1495887
1970	LW	6.060395693	4.543856444	334.4692996	234.5887277	0.928466074	0.779791184	489.9180923	314.6853018	201.4705463	704.1495887
1971	EW	3.610609078	2.886474947	321.0729711	238.8012677	0.593683524	0.470864065	719.2729557	526.6099912	458.9959855	651.8531798
1971	LW	6.598268623	4.738663739	358.195046	256.7118553	0.923623533	0.781273785	503.3707142	358.5038491	187.1787636	651.8531798
1972	EW	3.578115604	2.850966509	312.598741	228.7349196	0.591311922	0.468710622	696.2716246	512.1176598	469.5372166	659.9969334
1972	LW	6.426302526	4.831403279	374.0170327	269.8674843	0.926618473	0.777131514	531.7769403	352.9480638	183.5869629	659.9969334
1973	EW	3.565620786	2.838024845	319.2443967	234.5892857	0.587848627	0.457514212	731.0828798	531.9410825	557.090128	781.6429547
1973	LW	6.038690185	4.5982428	340.3011898	241.9161062	0.924680443	0.787389803	506.4049089	321.9391123	231.0730623	781.6429547
1974	EW	3.619842976	2.839720244	326.8094011	233.18597	0.592924554	0.455304294	717.9478486	533.4678309	558.3250189	814.152238
1974	LW	6.499186936	5.030213797	376.7427935	274.069772	0.933582868	0.824281282	524.7809913	352.7183048	257.9428191	814.152238
1975	EW	3.633207016	2.962959158	344.7679538	253.8377202	0.587782364	0.458757597	776.9309675	580.4904363	606.6690283	933.0002273
1975	LW	6.728332091	5.223558868	392.7055143	283.728283	0.932143704	0.821964208	539.9666313	370.0252226	267.5971255	933.0002273
1976	EW	3.722132494	3.056940323	344.0050155	255.5603687	0.588569152	0.465098279	768.025831	570.6036115	537.9439613	793.8397105
1976	LW	6.466532897	4.949928507	374.8978505	274.3919284	0.935233701	0.802809188	547.4631085	359.5949866	262.6224531	793.8397105
1977	EW	3.772014366	2.998718542	339.3211462	244.3330631	0.601851484	0.478473748	730.2818687	533.3023512	453.7622058	670.2495623
1977	LW	6.560955382	4.913612756	380.4565044	270.2197049	0.933249777	0.787424294	533.8094191	351.3258796	213.7969541	670.2495623
1978	EW	3.740321688	2.989919278	341.1172831	250.8702828	0.584259889	0.456890167	768.3191326	569.1768809	508.516585	760.1698091
1978	LW	6.757501888	5.140154394	379.113813	279.28576	0.936502472	0.808528991	529.6928634	356.3441916	230.0468301	760.1698091
1979	EW	3.687504777	2.963558091	339.0420795	245.2911346	0.580439704	0.458960128	765.8132155	556.3168684	446.4301214	602.3953262
1979	LW	6.725389449	4.910606226	373.1015229	268.4401291	0.931097539	0.779060095	533.4827356	361.8325697	190.9117032	602.3953262
1980	EW	3.702571522	2.980607357	330.4921203	246.5837331	0.593858532	0.473349344	722.3640047	534.9097876	343.2975409	528.9005726
1980	LW	6.576694343	4.810195514	364.6290922	270.3654649	0.910467469	0.746913397	532.9089441	362.788598	195.0266998	528.9005726
1981	EW	3.586382844	2.880377592	328.0140867	243.2620787	0.578125652	0.455908786	749.5890135	551.1335624	395.1003444	555.808845
1981	LW	6.237114936	4.522481416	345.97487	253.9266689	0.907187468	0.754520662	518.1657246	344.3246404	168.7999182	555.808845
1982	EW	3.627669706	2.876656094	329.5203053	242.2911814	0.588358888	0.462441112	727.7396656	543.6912578	367.1633826	515.9051286
1982	LW	5.979181442	4.446638582	347.9524865	248.6589271	0.901549416	0.729868497	551.439655	343.4891864	142.6723002	515.9051286
1983	EW	3.574826027	2.851143656	336.5832676	243.8496893	0.577122199	0.445407999	776.4429292	575.0525327	435.4565754	616.4852745
1983	LW	6.001429746	4.485643002	357.6505369	254.2997538	0.909172776	0.741931549	552.7448424	347.5290095	183.0488743	616.4852745
1984	EW	3.686656576	2.913447118	334.5084356	243.2452436	0.590285492	0.464671648	759.9313086	558.6113255	452.0019984	678.3235774
1984	LW	6.543793845	4.909102578	365.2293947	266.3915475	0.919436823	0.80717427	511.8450029	350.5474019	225.2823965	678.3235774
1985	EW	3.805791226	2.951686568	354.0340923	258.2158683	0.580970479	0.452466787	826.2176466	595.0493082	524.8517785	778.0386817
1985	LW	6.711314547	5.034826396	381.6085347	277.0003632	0.932448192	0.805045778	555.441862	360.1373183	250.247746	778.0386817
1986	EW	3.909862856	3.048420983	352.6351112	256.6383039	0.594198207	0.474197841	756.7660151	566.0486301	589.4745921	877.8633559
1986	LW	6.534342772	5.020484611	396.3755283	285.9227119	0.926157157	0.798564872	561.6828111	376.2170679	281.4151964	877.8633559
1987	EW	3.49521604	2.843160099	325.7978184	240.8759001	0.578854433	0.451919566	762.2349006	556.8448631	470.863417	662.3537052
1987	LW	5.975796291	4.510920318	337.1232507	241.365085	0.91273033	0.778063521	483.4682836	320.1191708	190.2171031	662.3537052
1988	EW	3.408896938	2.728724574	305.6894993	229.3763097	0.568951246	0.442475323	733.5359899	536.2252579	423.7966434	576.5372857
1988	LW	5.462786164	4.115744937	321.2635393	231.5751968	0.869863863	0.714983369	514.0887085	333.3259991	153.7925484	576.5372857
1989	EW	3.649678201	2.93932666	341.8675758	249.7218556	0.59182186	0.465119722	759.4263327	558.9968991	587.6168824	839.1797121
1989	LW	6.164789481	4.755955169	369.1697021	266.5445808	0.918051211	0.783983959	538.7978335	349.5686776	250.6463334	839.1797121
1990	EW	3.656551709	2.916162394	347.4839988	254.3248138	0.587464096	0.455427015	804.0371398	589.3785494	616.7449884	841.9650644
1990	LW	6.226136171	4.784023834	380.1582507	268.9951392	0.927615383	0.788837851	540.7195108	353.9837872	222.9093692	841.9650644
1991	EW	3.698473134	2.958754217	358.9511523	261.0851235	0.577541679	0.449409061	837.0008634	606.2303457	587.9237154	855.0953608
1991	LW	6.384326784	4.983694853	392.1464692	261.8403133	0.929386992	0.818563446	550.11781	355.5257737	262.1624863	855.0953608
1992	EW	3.616057222	2.987046066	346.3324525	255.5546791	0.589038404	0.465953892	776.7884908	568.7880554	550.8768216	751.6799876
1992	LW	6.037809841	4.570140937	371.0846787	261.6049599	0.914320932	0.773186795	551.3087766	344.1944062	197.5664281	751.6799876
1993	EW	3.836445857	3.048695058	368.0018036	270.549205	0.588706551	0.453425844	831.9800983	618.754422	584.1817859	815.5784275
1993	LW	6.556266995	5.122469198	409.4629318	297.7051262	0.926634215	0.800126496	583.9416911	380.3339424	235.8398554	815.5784275
1994	EW	3.822793209	3.010747258	358.0189779	264.2455508	0.590167244	0.463608946	808.8844722	590.8334974	617.9695067	935.8081926
1994	LW	6.611916675	5.197992656	413.6676844	306.9914653	0.937521805	0.803034188	594.7900754	394.9596834	302.4769787	935.8081926
1995	EW	3.58311753	2.893081704	327.7584287	240.8336959	0.579111965	0.456727565	751.9144123	545.1063233	508.1238904	661.765563
1995	LW	5.617470753	4.164269551	332.7141153	243.1380067	0.897796267	0.737248791	515.8126826	332.8358277	141.6547677	661.765563
1996	EW	3.732525109	2.973715539	358.0182423	259.7410846	0.580239145	0.451963494	817.6779943	602.4050134	601.1373374	813.8500648
1996	LW	6.392217548	4.801914101	377.3229179	274.0156378	0.925599979	0.79118817	562.684742	358.2651855	214.0736094	813.8500648
1997	EW	3.872078847	3.024236273	378.5537789	271.8851995	0.584177384	0.446316294	862.8322643	626.9835991	547.5308005	831.9207756
1997	LW	6.470467628	5.097231079	399.0648759	291.2608237	0.930223428	0.815885703	574.3893666	371.8056524	283.1911516	831.9207756
1998	EW	3.922384102	3.070354543	379.0195833	279.6504491	0.584574697	0.455752728	851.1972165	633.9677587	434.3395723	744.8735894
1998	LW	6.727799751	5.317448488	417.8830265	306.0654176	0.933816869	0.82499076	594.3503971	382.4488934	299.6482877	744.8735894
1999	EW	3.841727371	3.080028596	378.5344058	276.5555611	0.599377016	0.458931279	854.480076	625.7185129	568.2189615	833.6826352
1999	LW	6.527818079	5.016388428	393.5573943	287.2407673	0.927271974	0.804117954	571.3519263	367.1267186	265.7466793	833.6826352
2000	EW	3.829778338	3.032522631	374.9855981	275.6635012	0.579476834	0.450128526	858.0966005	636.9039573	532.8694325	748.6144557
2000	LW	6.47629759	4.946391997	391.5818744	290.5241675	0.923002631	0.783167579	572.9774559	385.6482264	213.3165888	748.6144557
2001	EW	3.923545844	3.117148532	381.965878	285.5400387	0.598140891	0.466654975	843.2572887	636.15297	508.8295228	758.6213958
2001	LW	6.684498963	5.15412137	405.0190331	297.9013246	0.929911162	0.798484637	572.3009123	386.1603304	260.7949514	758.6213958
2002	EW	3.370840302	2.799457534	328.2846928	242.0197595	0.569258926	0.447677348	780.1329716	561.6322584	514.0089841	726.9851897
2002	LW	5.610251174	4.208927262	320.1351452	231.0434211	0.888768866	0.751807685	494.4634382	302.5345279	213.1041671	726.9851897
2003	EW	3.845060399	3.046765851	365.2299454	274.327897	0.588285068	0.459649863	837.9230335	618.9103468	647.1901414	907.048399
2003	LW	6.220080397	4.757624849	388.247575	273.9113172	0.910942903	0.781615768	563.3617782	358.5597626	251.664589	907.048399
2004	EW	3.730940723	2.87975897	365.8311973	259.7486231	0.584219656	0.444638598	837.7979672	613.093918	650.8945425	898.1426709
2004	LW	5.840950393	4.496035992	355.4517621	251.7053394	0.907927821	0.793910351	524.7385998	325.8336533	241.4815105	898.1426709
2005	EW	3.772808505	3.004900211	363.7813218	269.271542	0.570297282	0.447727251	847.102202	623.5449507	584.4590591	855.6108401
2005	LW	6.274063804	4.965334531	388.0039172	279.6107307	0.923897887	0.807950285	561.6035776	362.906391	260.2922183	855.6108401
2006	EW	3.906643692	3.048556258	378.4981985	275.3141503	0.585103032	0.454932842	858.7012168	624.09509	635.1872954	937.4303657
2006	LW	6.715142353	5.223095115	401.1350256	293.8108719	0.926398056	0.814411387	552.6349534	376.5940719	302.8396598	937.4303657
2007	EW	3.879224902	3.117603248	382.927034	283.6261146	0.587614028	0.465576385	846.1385885	629.0947484	469.9447631	729.0868533
2007	LW	6.541111024	5.085425923	387.9987976	291.5715536	0.932710761	0.815777827	545.4251199	368.5296486	250.3843696	729.0868533
2008	EW	3.833429991	3.09673621	375.1039452	281.6975891	0.589559503	0.460693292	858.1987436	633.6432561	536.1259814	776.7665174
2008	LW	6.549582469	4.99847925	405.0837257	295.5452506	0.921359576	0.782958747	582.6480645	383.4437781	221.0640242	776.7665174
2009	EW	3.953979809	3.068688964	385.9197422	278.1577119	0.592804821	0.461338679	868.0332413	639.8445397	550.2861393	806.668947
2009	LW	6.625809924	5.139279098	413.1115485	299.9929773	0.932674561	0.798791771	603.0698788	389.2166692	254.3061299	806.668947
2010	EW	4.013175447	3.193220728	385.60535	284.8674446	0.595337238	0.469223912	864.5881424	639.7569453	512.2410199	765.1530158
2010	LW	6.781006129	5.356277454	436.2517049	314.6315965	0.934207015	0.790421744	617.4304546	410.841069	249.3037604	765.1530158
2011	EW	3.870647399	3.115678976	394.5092643	295.4267679	0.577088736	0.448738641	926.2208018	685.0058436	545.1290192	791.0797198
2011	LW	6.889805788	5.364067073	405.5856632	312.5119728	0.939540686	0.815861968	583.5800935	396.1330096	246.2777776	791.0797198
2012	EW	3.908984892	3.087025549	388.213584	287.510934	0.585123505	0.455970446	889.4497033	660.8990658	586.0704705	848.737314
2012	LW	6.722380307	5.114002685	399.5154055	297.696807	0.935646285	0.811389126	586.8416001	383.541183	270.9242446	848.737314
2013	EW	3.968644384	3.095562928	400.0461341	300.1970426	0.583459107	0.448729272	949.9130317	695.8899988	547.5172112	796.5813393
2013	LW	6.891510978	5.343540888	432.2100163	316.2040416	0.931420129	0.78127036	624.6827124	429.6993094	249.6941862	796.5813393
2014	EW	3.826379895	3.079751867	388.4958019	294.9111503	0.573746439	0.44861823	931.1214338	687.5504195	530.7791234	763.4014326
2014	LW	6.781385214	5.178052661	410.7185776	308.4531711	0.933109034	0.792495383	609.5784718	403.5102194	212.719648	763.4014326
2015	EW	3.958258887	3.145701167	391.6533228	289.5793568	0.582490712	0.455375361	894.6646335	669.3724855	437.4601794	641.1457998
2015	LW	6.230406291	4.749787891	378.2326221	274.9375154	0.906342732	0.753360885	567.5169455	360.5848294	194.4762736	641.1457998
2016	EW	4.107871998	3.229510585	405.361462	300.6261412	0.58283909	0.456658207	910.4026794	684.2270429	579.7353794	842.1557632
2016	LW	6.952703887	5.477979241	448.3045767	334.4520381	0.919876626	0.796218864	641.091192	431.2883633	247.5825132	842.1557632
